onet_soc_2010;element_id;element_name;value;date;source
17-1022.00;2.B.5.b;Management of Financial Resources;2.25;Jun 10;Analyst
17-1022.00;2.B.5.c;Management of Material Resources;2.38;Jun 10;Analyst
17-1022.00;2.B.5.d;Management of Personnel Resources;3.38;Jun 10;Analyst
17-1022.01;2.A.1.a;Reading Comprehension;3.75;Jun 10;Analyst
17-1022.01;2.A.1.b;Active Listening;3.5;Jun 10;Analyst
17-1022.01;2.A.1.c;Writing;3.38;Jun 10;Analyst
17-1022.01;2.A.1.d;Speaking;3.38;Jun 10;Analyst
17-1022.01;2.A.1.e;Mathematics;4.12;Jun 10;Analyst
17-1022.01;2.A.1.f;Science;3;Jun 10;Analyst
17-1022.01;2.A.2.a;Critical Thinking;3.88;Jun 10;Analyst
17-1022.01;2.A.2.b;Active Learning;3.25;Jun 10;Analyst
17-1022.01;2.A.2.c;Learning Strategies;2.75;Jun 10;Analyst
17-1022.01;2.A.2.d;Monitoring;3.38;Jun 10;Analyst
17-1022.01;2.B.1.a;Social Perceptiveness;2.88;Jun 10;Analyst
17-1022.01;2.B.1.b;Coordination;3.38;Jun 10;Analyst
17-1022.01;2.B.1.c;Persuasion;2.25;Jun 10;Analyst
17-1022.01;2.B.1.d;Negotiation;2.38;Jun 10;Analyst
17-1022.01;2.B.1.e;Instructing;3;Jun 10;Analyst
17-1022.01;2.B.1.f;Service Orientation;2.38;Jun 10;Analyst
17-1022.01;2.B.2.i;Complex Problem Solving;3.5;Jun 10;Analyst
17-1022.01;2.B.3.a;Operations Analysis;1.88;Jun 10;Analyst
17-1022.01;2.B.3.b;Technology Design;1.62;Jun 10;Analyst
17-1022.01;2.B.3.c;Equipment Selection;2.25;Jun 10;Analyst
17-1022.01;2.B.3.d;Installation;1;Jun 10;Analyst
17-1022.01;2.B.3.e;Programming;2.38;Jun 10;Analyst
17-1022.01;2.B.3.g;Operation Monitoring;2.62;Jun 10;Analyst
17-1022.01;2.B.3.h;Operation and Control;2.75;Jun 10;Analyst
17-1022.01;2.B.3.j;Equipment Maintenance;2.12;Jun 10;Analyst
17-1022.01;2.B.3.k;Troubleshooting;2.12;Jun 10;Analyst
17-1022.01;2.B.3.l;Repairing;2.12;Jun 10;Analyst
17-1022.01;2.B.3.m;Quality Control Analysis;3;Jun 10;Analyst
17-1022.01;2.B.4.e;Judgment and Decision Making;3.5;Jun 10;Analyst
17-1022.01;2.B.4.g;Systems Analysis;3.12;Jun 10;Analyst
17-1022.01;2.B.4.h;Systems Evaluation;3.25;Jun 10;Analyst
17-1022.01;2.B.5.a;Time Management;3.25;Jun 10;Analyst
17-1022.01;2.B.5.b;Management of Financial Resources;2;Jun 10;Analyst
17-1022.01;2.B.5.c;Management of Material Resources;2.12;Jun 10;Analyst
17-1022.01;2.B.5.d;Management of Personnel Resources;2.88;Jun 10;Analyst
17-2011.00;2.A.1.a;Reading Comprehension;4;Jun 10;Analyst
17-2011.00;2.A.1.b;Active Listening;3.88;Jun 10;Analyst
17-2011.00;2.A.1.c;Writing;3.75;Jun 10;Analyst
17-2011.00;2.A.1.d;Speaking;3.88;Jun 10;Analyst
17-2011.00;2.A.1.e;Mathematics;3.75;Jun 10;Analyst
17-2011.00;2.A.1.f;Science;3.75;Jun 10;Analyst
17-2011.00;2.A.2.a;Critical Thinking;4.12;Jun 10;Analyst
17-2011.00;2.A.2.b;Active Learning;3.5;Jun 10;Analyst
17-2011.00;2.A.2.c;Learning Strategies;3.12;Jun 10;Analyst
17-2011.00;2.A.2.d;Monitoring;3.62;Jun 10;Analyst
17-2011.00;2.B.1.a;Social Perceptiveness;3.25;Jun 10;Analyst
17-2011.00;2.B.1.b;Coordination;3.38;Jun 10;Analyst
17-2011.00;2.B.1.c;Persuasion;3;Jun 10;Analyst
17-2011.00;2.B.1.d;Negotiation;3;Jun 10;Analyst
17-2011.00;2.B.1.e;Instructing;3.12;Jun 10;Analyst
17-2011.00;2.B.1.f;Service Orientation;2.88;Jun 10;Analyst
17-2011.00;2.B.2.i;Complex Problem Solving;3.88;Jun 10;Analyst
17-2011.00;2.B.3.a;Operations Analysis;3.88;Jun 10;Analyst
17-2011.00;2.B.3.b;Technology Design;3.12;Jun 10;Analyst
17-2011.00;2.B.3.c;Equipment Selection;1.25;Jun 10;Analyst
17-2011.00;2.B.3.d;Installation;1.5;Jun 10;Analyst
17-2011.00;2.B.3.e;Programming;1.75;Jun 10;Analyst
17-2011.00;2.B.3.g;Operation Monitoring;2.88;Jun 10;Analyst
17-2011.00;2.B.3.h;Operation and Control;1.38;Jun 10;Analyst
17-2011.00;2.B.3.j;Equipment Maintenance;1;Jun 10;Analyst
17-2011.00;2.B.3.k;Troubleshooting;2.38;Jun 10;Analyst
17-2011.00;2.B.3.l;Repairing;1;Jun 10;Analyst
17-2011.00;2.B.3.m;Quality Control Analysis;3.25;Jun 10;Analyst
17-2011.00;2.B.4.e;Judgment and Decision Making;3.5;Jun 10;Analyst
17-2011.00;2.B.4.g;Systems Analysis;3.38;Jun 10;Analyst
17-2011.00;2.B.4.h;Systems Evaluation;3.25;Jun 10;Analyst
17-2011.00;2.B.5.a;Time Management;3.25;Jun 10;Analyst
17-2011.00;2.B.5.b;Management of Financial Resources;1.5;Jun 10;Analyst
17-2011.00;2.B.5.c;Management of Material Resources;1.5;Jun 10;Analyst
17-2011.00;2.B.5.d;Management of Personnel Resources;2.88;Jun 10;Analyst
17-2021.00;2.A.1.a;Reading Comprehension;4;Jun 10;Analyst
17-2021.00;2.A.1.b;Active Listening;3.88;Jun 10;Analyst
17-2021.00;2.A.1.c;Writing;4;Jun 10;Analyst
17-2021.00;2.A.1.d;Speaking;3.75;Jun 10;Analyst
17-2021.00;2.A.1.e;Mathematics;3.62;Jun 10;Analyst
17-2021.00;2.A.1.f;Science;3.38;Jun 10;Analyst
17-2021.00;2.A.2.a;Critical Thinking;4.12;Jun 10;Analyst
17-2021.00;2.A.2.b;Active Learning;3.38;Jun 10;Analyst
17-2021.00;2.A.2.c;Learning Strategies;2.88;Jun 10;Analyst
17-2021.00;2.A.2.d;Monitoring;3.38;Jun 10;Analyst
17-2021.00;2.B.1.a;Social Perceptiveness;3.12;Jun 10;Analyst
17-2021.00;2.B.1.b;Coordination;3.25;Jun 10;Analyst
17-2021.00;2.B.1.c;Persuasion;2.88;Jun 10;Analyst
17-2021.00;2.B.1.d;Negotiation;2.88;Jun 10;Analyst
17-2021.00;2.B.1.e;Instructing;3;Jun 10;Analyst
17-2021.00;2.B.1.f;Service Orientation;2.75;Jun 10;Analyst
17-2021.00;2.B.2.i;Complex Problem Solving;4;Jun 10;Analyst
17-2021.00;2.B.3.a;Operations Analysis;2.62;Jun 10;Analyst
17-2021.00;2.B.3.b;Technology Design;2.88;Jun 10;Analyst
17-2021.00;2.B.3.c;Equipment Selection;1.62;Jun 10;Analyst
17-2021.00;2.B.3.d;Installation;1.25;Jun 10;Analyst
17-2021.00;2.B.3.e;Programming;2;Jun 10;Analyst
17-2021.00;2.B.3.g;Operation Monitoring;3.12;Jun 10;Analyst
17-2021.00;2.B.3.h;Operation and Control;2.12;Jun 10;Analyst
17-2021.00;2.B.3.j;Equipment Maintenance;1.12;Jun 10;Analyst
17-2021.00;2.B.3.k;Troubleshooting;2.38;Jun 10;Analyst
17-2021.00;2.B.3.l;Repairing;1.12;Jun 10;Analyst
17-2021.00;2.B.3.m;Quality Control Analysis;2.5;Jun 10;Analyst
17-2021.00;2.B.4.e;Judgment and Decision Making;3.88;Jun 10;Analyst
17-2021.00;2.B.4.g;Systems Analysis;3.62;Jun 10;Analyst
17-2021.00;2.B.4.h;Systems Evaluation;3.62;Jun 10;Analyst
17-2021.00;2.B.5.a;Time Management;3.25;Jun 10;Analyst
17-2021.00;2.B.5.b;Management of Financial Resources;2.12;Jun 10;Analyst
17-2021.00;2.B.5.c;Management of Material Resources;2.38;Jun 10;Analyst
17-2021.00;2.B.5.d;Management of Personnel Resources;2.88;Jun 10;Analyst
17-2031.00;2.A.1.a;Reading Comprehension;4;Jun 10;Analyst
17-2031.00;2.A.1.b;Active Listening;3.88;Jun 10;Analyst
17-2031.00;2.A.1.c;Writing;3.5;Jun 10;Analyst
17-2031.00;2.A.1.d;Speaking;3.75;Jun 10;Analyst
17-2031.00;2.A.1.e;Mathematics;3.62;Jun 10;Analyst
17-2031.00;2.A.1.f;Science;4.12;Jun 10;Analyst
17-2031.00;2.A.2.a;Critical Thinking;4.12;Jun 10;Analyst
17-2031.00;2.A.2.b;Active Learning;3.5;Jun 10;Analyst
17-2031.00;2.A.2.c;Learning Strategies;3.25;Jun 10;Analyst
17-2031.00;2.A.2.d;Monitoring;3.5;Jun 10;Analyst
17-2031.00;2.B.1.a;Social Perceptiveness;3.12;Jun 10;Analyst
17-2031.00;2.B.1.b;Coordination;3.12;Jun 10;Analyst
17-2031.00;2.B.1.c;Persuasion;3;Jun 10;Analyst
17-2031.00;2.B.1.d;Negotiation;2.75;Jun 10;Analyst
17-2031.00;2.B.1.e;Instructing;3.12;Jun 10;Analyst
17-2031.00;2.B.1.f;Service Orientation;2.88;Jun 10;Analyst
17-2031.00;2.B.2.i;Complex Problem Solving;4;Jun 10;Analyst
17-2031.00;2.B.3.a;Operations Analysis;3.88;Jun 10;Analyst
17-2031.00;2.B.3.b;Technology Design;3.38;Jun 10;Analyst
17-2031.00;2.B.3.c;Equipment Selection;2.38;Jun 10;Analyst
17-2031.00;2.B.3.d;Installation;2.62;Jun 10;Analyst
17-2031.00;2.B.3.e;Programming;3.12;Jun 10;Analyst
17-2031.00;2.B.3.g;Operation Monitoring;3.12;Jun 10;Analyst
17-2031.00;2.B.3.h;Operation and Control;2.38;Jun 10;Analyst
17-2031.00;2.B.3.j;Equipment Maintenance;2.38;Jun 10;Analyst
17-2031.00;2.B.3.k;Troubleshooting;2.88;Jun 10;Analyst
17-2031.00;2.B.3.l;Repairing;2.5;Jun 10;Analyst
17-2031.00;2.B.3.m;Quality Control Analysis;3.12;Jun 10;Analyst
17-2031.00;2.B.4.e;Judgment and Decision Making;4;Jun 10;Analyst
17-2031.00;2.B.4.g;Systems Analysis;3.62;Jun 10;Analyst
17-2031.00;2.B.4.h;Systems Evaluation;3.5;Jun 10;Analyst
17-2031.00;2.B.5.a;Time Management;3.25;Jun 10;Analyst
17-2031.00;2.B.5.b;Management of Financial Resources;2;Jun 10;Analyst
17-2031.00;2.B.5.c;Management of Material Resources;2.5;Jun 10;Analyst
17-2031.00;2.B.5.d;Management of Personnel Resources;2.88;Jun 10;Analyst
17-2041.00;2.A.1.a;Reading Comprehension;3.62;Jun 10;Analyst
17-2041.00;2.A.1.b;Active Listening;3.38;Jun 10;Analyst
17-2041.00;2.A.1.c;Writing;3.38;Jun 10;Analyst
17-2041.00;2.A.1.d;Speaking;3.5;Jun 10;Analyst
17-2041.00;2.A.1.e;Mathematics;3.75;Jun 10;Analyst
17-2041.00;2.A.1.f;Science;4.25;Jun 10;Analyst
17-2041.00;2.A.2.a;Critical Thinking;4;Jun 10;Analyst
17-2041.00;2.A.2.b;Active Learning;3.62;Jun 10;Analyst
17-2041.00;2.A.2.c;Learning Strategies;2.88;Jun 10;Analyst
17-2041.00;2.A.2.d;Monitoring;3.25;Jun 10;Analyst
17-2041.00;2.B.1.a;Social Perceptiveness;2.88;Jun 10;Analyst
17-2041.00;2.B.1.b;Coordination;3;Jun 10;Analyst
17-2041.00;2.B.1.c;Persuasion;2.88;Jun 10;Analyst
17-2041.00;2.B.1.d;Negotiation;2.75;Jun 10;Analyst
17-2041.00;2.B.1.e;Instructing;2.88;Jun 10;Analyst
17-2041.00;2.B.1.f;Service Orientation;2.62;Jun 10;Analyst
17-2041.00;2.B.2.i;Complex Problem Solving;4;Jun 10;Analyst
17-2041.00;2.B.3.a;Operations Analysis;3.5;Jun 10;Analyst
17-2041.00;2.B.3.b;Technology Design;2.75;Jun 10;Analyst
17-2041.00;2.B.3.c;Equipment Selection;2.12;Jun 10;Analyst
17-2041.00;2.B.3.d;Installation;1;Jun 10;Analyst
17-2041.00;2.B.3.e;Programming;2.12;Jun 10;Analyst
17-2041.00;2.B.3.g;Operation Monitoring;3;Jun 10;Analyst
17-2041.00;2.B.3.h;Operation and Control;1.62;Jun 10;Analyst
17-2041.00;2.B.3.j;Equipment Maintenance;1;Jun 10;Analyst
17-2041.00;2.B.3.k;Troubleshooting;3.12;Jun 10;Analyst
17-2041.00;2.B.3.l;Repairing;1;Jun 10;Analyst
17-2041.00;2.B.3.m;Quality Control Analysis;2.88;Jun 10;Analyst
17-2041.00;2.B.4.e;Judgment and Decision Making;3.88;Jun 10;Analyst
17-2041.00;2.B.4.g;Systems Analysis;3.88;Jun 10;Analyst
17-2041.00;2.B.4.h;Systems Evaluation;3.62;Jun 10;Analyst
17-2041.00;2.B.5.a;Time Management;3.12;Jun 10;Analyst
17-2041.00;2.B.5.b;Management of Financial Resources;2.5;Jun 10;Analyst
17-2041.00;2.B.5.c;Management of Material Resources;2.5;Jun 10;Analyst
17-2041.00;2.B.5.d;Management of Personnel Resources;2.88;Jun 10;Analyst
17-2051.00;2.A.1.a;Reading Comprehension;3.88;Jun 10;Analyst
17-2051.00;2.A.1.b;Active Listening;3.75;Jun 10;Analyst
17-2051.00;2.A.1.c;Writing;3.38;Jun 10;Analyst
17-2051.00;2.A.1.d;Speaking;3.75;Jun 10;Analyst
17-2051.00;2.A.1.e;Mathematics;4;Jun 10;Analyst
17-2051.00;2.A.1.f;Science;3.5;Jun 10;Analyst
17-2051.00;2.A.2.a;Critical Thinking;4;Jun 10;Analyst
17-2051.00;2.A.2.b;Active Learning;3.38;Jun 10;Analyst
17-2051.00;2.A.2.c;Learning Strategies;3.12;Jun 10;Analyst
17-2051.00;2.A.2.d;Monitoring;3.38;Jun 10;Analyst
17-2051.00;2.B.1.a;Social Perceptiveness;3.12;Jun 10;Analyst
17-2051.00;2.B.1.b;Coordination;3.25;Jun 10;Analyst
17-2051.00;2.B.1.c;Persuasion;2.75;Jun 10;Analyst
17-2051.00;2.B.1.d;Negotiation;2.62;Jun 10;Analyst
17-2051.00;2.B.1.e;Instructing;3;Jun 10;Analyst
17-2051.00;2.B.1.f;Service Orientation;2.75;Jun 10;Analyst
17-2051.00;2.B.2.i;Complex Problem Solving;4;Jun 10;Analyst
17-2051.00;2.B.3.a;Operations Analysis;3.88;Jun 10;Analyst
17-2051.00;2.B.3.b;Technology Design;2.12;Jun 10;Analyst
17-2051.00;2.B.3.c;Equipment Selection;1.38;Jun 10;Analyst
17-2051.00;2.B.3.d;Installation;1.12;Jun 10;Analyst
17-2051.00;2.B.3.e;Programming;2.12;Jun 10;Analyst
17-2051.00;2.B.3.g;Operation Monitoring;2.25;Jun 10;Analyst
17-2051.00;2.B.3.h;Operation and Control;2;Jun 10;Analyst
17-2051.00;2.B.3.j;Equipment Maintenance;1.25;Jun 10;Analyst
17-2051.00;2.B.3.k;Troubleshooting;2.12;Jun 10;Analyst
17-2051.00;2.B.3.l;Repairing;1.12;Jun 10;Analyst
17-2051.00;2.B.3.m;Quality Control Analysis;3.25;Jun 10;Analyst
17-2051.00;2.B.4.e;Judgment and Decision Making;4;Jun 10;Analyst
17-2051.00;2.B.4.g;Systems Analysis;3.38;Jun 10;Analyst
17-2051.00;2.B.4.h;Systems Evaluation;3.38;Jun 10;Analyst
17-2051.00;2.B.5.a;Time Management;3.5;Jun 10;Analyst
17-2051.00;2.B.5.b;Management of Financial Resources;2.88;Jun 10;Analyst
17-2051.00;2.B.5.c;Management of Material Resources;3;Jun 10;Analyst
17-2051.00;2.B.5.d;Management of Personnel Resources;3.38;Jun 10;Analyst
17-2061.00;2.A.1.a;Reading Comprehension;3.88;Jun 10;Analyst
17-2061.00;2.A.1.b;Active Listening;3.88;Jun 10;Analyst
17-2061.00;2.A.1.c;Writing;3.5;Jun 10;Analyst
17-2061.00;2.A.1.d;Speaking;4;Jun 10;Analyst
17-2061.00;2.A.1.e;Mathematics;2.25;Jun 10;Analyst
17-2061.00;2.A.1.f;Science;3.25;Jun 10;Analyst
17-2061.00;2.A.2.a;Critical Thinking;3.75;Jun 10;Analyst
17-2061.00;2.A.2.b;Active Learning;3.62;Jun 10;Analyst
17-2061.00;2.A.2.c;Learning Strategies;2.75;Jun 10;Analyst
17-2061.00;2.A.2.d;Monitoring;3;Jun 10;Analyst
17-2061.00;2.B.1.a;Social Perceptiveness;3.12;Jun 10;Analyst
17-2061.00;2.B.1.b;Coordination;3.12;Jun 10;Analyst
17-2061.00;2.B.1.c;Persuasion;2.88;Jun 10;Analyst
17-2061.00;2.B.1.d;Negotiation;2.5;Jun 10;Analyst
17-2061.00;2.B.1.e;Instructing;2.88;Jun 10;Analyst
17-2061.00;2.B.1.f;Service Orientation;2.75;Jun 10;Analyst
17-2061.00;2.B.2.i;Complex Problem Solving;3.62;Jun 10;Analyst
17-2061.00;2.B.3.a;Operations Analysis;3.38;Jun 10;Analyst
17-2061.00;2.B.3.b;Technology Design;2.12;Jun 10;Analyst
17-2061.00;2.B.3.c;Equipment Selection;2;Jun 10;Analyst
17-2061.00;2.B.3.d;Installation;1.62;Jun 10;Analyst
17-2061.00;2.B.3.e;Programming;2.5;Jun 10;Analyst
17-2061.00;2.B.3.g;Operation Monitoring;2.88;Jun 10;Analyst
17-2061.00;2.B.3.h;Operation and Control;1.5;Jun 10;Analyst
17-2061.00;2.B.3.j;Equipment Maintenance;2.25;Jun 10;Analyst
17-2061.00;2.B.3.k;Troubleshooting;2.75;Jun 10;Analyst
17-2061.00;2.B.3.l;Repairing;1.88;Jun 10;Analyst
17-2061.00;2.B.3.m;Quality Control Analysis;2.75;Jun 10;Analyst
17-2061.00;2.B.4.e;Judgment and Decision Making;3.5;Jun 10;Analyst
17-2061.00;2.B.4.g;Systems Analysis;3.12;Jun 10;Analyst
17-2061.00;2.B.4.h;Systems Evaluation;2.88;Jun 10;Analyst
17-2061.00;2.B.5.a;Time Management;3.38;Jun 10;Analyst
17-2061.00;2.B.5.b;Management of Financial Resources;1.62;Jun 10;Analyst
17-2061.00;2.B.5.c;Management of Material Resources;2;Jun 10;Analyst
17-2061.00;2.B.5.d;Management of Personnel Resources;2.88;Jun 10;Analyst
17-2071.00;2.A.1.a;Reading Comprehension;4;Jun 10;Analyst
17-2071.00;2.A.1.b;Active Listening;3.88;Jun 10;Analyst
17-2071.00;2.A.1.c;Writing;3.75;Jun 10;Analyst
17-2071.00;2.A.1.d;Speaking;3.5;Jun 10;Analyst
17-2071.00;2.A.1.e;Mathematics;3.12;Jun 10;Analyst
17-2071.00;2.A.1.f;Science;3.12;Jun 10;Analyst
17-2071.00;2.A.2.a;Critical Thinking;4;Jun 10;Analyst
17-2071.00;2.A.2.b;Active Learning;3.5;Jun 10;Analyst
17-2071.00;2.A.2.c;Learning Strategies;2.75;Jun 10;Analyst
17-2071.00;2.A.2.d;Monitoring;3.5;Jun 10;Analyst
17-2071.00;2.B.1.a;Social Perceptiveness;3.12;Jun 10;Analyst
17-2071.00;2.B.1.b;Coordination;3.25;Jun 10;Analyst
17-2071.00;2.B.1.c;Persuasion;2.75;Jun 10;Analyst
17-2071.00;2.B.1.d;Negotiation;2.62;Jun 10;Analyst
17-2071.00;2.B.1.e;Instructing;3;Jun 10;Analyst
17-2071.00;2.B.1.f;Service Orientation;2.75;Jun 10;Analyst
17-2071.00;2.B.2.i;Complex Problem Solving;3.75;Jun 10;Analyst
17-2071.00;2.B.3.a;Operations Analysis;3.25;Jun 10;Analyst
17-2071.00;2.B.3.b;Technology Design;2.38;Jun 10;Analyst
17-2071.00;2.B.3.c;Equipment Selection;2;Jun 10;Analyst
17-2071.00;2.B.3.d;Installation;1.25;Jun 10;Analyst
17-2071.00;2.B.3.e;Programming;1.62;Jun 10;Analyst
17-2071.00;2.B.3.g;Operation Monitoring;3;Jun 10;Analyst
17-2071.00;2.B.3.h;Operation and Control;1.12;Jun 10;Analyst
17-2071.00;2.B.3.j;Equipment Maintenance;2.25;Jun 10;Analyst
17-2071.00;2.B.3.k;Troubleshooting;3;Jun 10;Analyst
17-2071.00;2.B.3.l;Repairing;2.12;Jun 10;Analyst
17-2071.00;2.B.3.m;Quality Control Analysis;2.75;Jun 10;Analyst
17-2071.00;2.B.4.e;Judgment and Decision Making;3.38;Jun 10;Analyst
17-2071.00;2.B.4.g;Systems Analysis;3.12;Jun 10;Analyst
17-2071.00;2.B.4.h;Systems Evaluation;3.25;Jun 10;Analyst
17-2071.00;2.B.5.a;Time Management;3.38;Jun 10;Analyst
17-2071.00;2.B.5.b;Management of Financial Resources;2.12;Jun 10;Analyst
17-2071.00;2.B.5.c;Management of Material Resources;2.12;Jun 10;Analyst
17-2071.00;2.B.5.d;Management of Personnel Resources;2.88;Jun 10;Analyst
17-2072.00;2.A.1.a;Reading Comprehension;4;Jun 10;Analyst
17-2072.00;2.A.1.b;Active Listening;3.62;Jun 10;Analyst
17-2072.00;2.A.1.c;Writing;3.62;Jun 10;Analyst
17-2072.00;2.A.1.d;Speaking;3.5;Jun 10;Analyst
17-2072.00;2.A.1.e;Mathematics;3.25;Jun 10;Analyst
17-2072.00;2.A.1.f;Science;2.62;Jun 10;Analyst
17-2072.00;2.A.2.a;Critical Thinking;3.88;Jun 10;Analyst
17-2072.00;2.A.2.b;Active Learning;3.5;Jun 10;Analyst
17-2072.00;2.A.2.c;Learning Strategies;3;Jun 10;Analyst
17-2072.00;2.A.2.d;Monitoring;3.5;Jun 10;Analyst
17-2072.00;2.B.1.a;Social Perceptiveness;3;Jun 10;Analyst
17-2072.00;2.B.1.b;Coordination;3.25;Jun 10;Analyst
17-2072.00;2.B.1.c;Persuasion;2.75;Jun 10;Analyst
17-2072.00;2.B.1.d;Negotiation;2.88;Jun 10;Analyst
17-2072.00;2.B.1.e;Instructing;3.12;Jun 10;Analyst
17-2072.00;2.B.1.f;Service Orientation;2.75;Jun 10;Analyst
17-2072.00;2.B.2.i;Complex Problem Solving;3.75;Jun 10;Analyst
17-2072.00;2.B.3.a;Operations Analysis;2.88;Jun 10;Analyst
17-2072.00;2.B.3.b;Technology Design;2.88;Jun 10;Analyst
17-2072.00;2.B.3.c;Equipment Selection;3.12;Jun 10;Analyst
17-2072.00;2.B.3.d;Installation;1.5;Jun 10;Analyst
17-2072.00;2.B.3.e;Programming;2.88;Jun 10;Analyst
17-2072.00;2.B.3.g;Operation Monitoring;3.5;Jun 10;Analyst
17-2072.00;2.B.3.h;Operation and Control;2.62;Jun 10;Analyst
17-2072.00;2.B.3.j;Equipment Maintenance;2.62;Jun 10;Analyst
17-2072.00;2.B.3.k;Troubleshooting;3.38;Jun 10;Analyst
17-2072.00;2.B.3.l;Repairing;3;Jun 10;Analyst
17-2072.00;2.B.3.m;Quality Control Analysis;3.5;Jun 10;Analyst
17-2072.00;2.B.4.e;Judgment and Decision Making;3.5;Jun 10;Analyst
17-2072.00;2.B.4.g;Systems Analysis;3.75;Jun 10;Analyst
17-2072.00;2.B.4.h;Systems Evaluation;3.38;Jun 10;Analyst
17-2072.00;2.B.5.a;Time Management;3.38;Jun 10;Analyst
17-2072.00;2.B.5.b;Management of Financial Resources;2.38;Jun 10;Analyst
17-2072.00;2.B.5.c;Management of Material Resources;2.5;Jun 10;Analyst
17-2072.00;2.B.5.d;Management of Personnel Resources;2.88;Jun 10;Analyst
17-2081.00;2.A.1.a;Reading Comprehension;4.25;Jun 10;Analyst
17-2081.00;2.A.1.b;Active Listening;3.88;Jun 10;Analyst
17-2081.00;2.A.1.c;Writing;3.62;Jun 10;Analyst
17-2081.00;2.A.1.d;Speaking;3.88;Jun 10;Analyst
17-2081.00;2.A.1.e;Mathematics;3.25;Jun 10;Analyst
17-2081.00;2.A.1.f;Science;3.5;Jun 10;Analyst
17-2081.00;2.A.2.a;Critical Thinking;4;Jun 10;Analyst
17-2081.00;2.A.2.b;Active Learning;3.25;Jun 10;Analyst
17-2081.00;2.A.2.c;Learning Strategies;2.75;Jun 10;Analyst
17-2081.00;2.A.2.d;Monitoring;3.25;Jun 10;Analyst
17-2081.00;2.B.1.a;Social Perceptiveness;3.12;Jun 10;Analyst
17-2081.00;2.B.1.b;Coordination;3.12;Jun 10;Analyst
17-2081.00;2.B.1.c;Persuasion;3;Jun 10;Analyst
17-2081.00;2.B.1.d;Negotiation;2.62;Jun 10;Analyst
17-2081.00;2.B.1.e;Instructing;3;Jun 10;Analyst
17-2081.00;2.B.1.f;Service Orientation;3.12;Jun 10;Analyst
17-2081.00;2.B.2.i;Complex Problem Solving;3.75;Jun 10;Analyst
17-2081.00;2.B.3.a;Operations Analysis;3.38;Jun 10;Analyst
17-2081.00;2.B.3.b;Technology Design;2.25;Jun 10;Analyst
17-2081.00;2.B.3.c;Equipment Selection;1.5;Jun 10;Analyst
17-2081.00;2.B.3.d;Installation;1;Jun 10;Analyst
17-2081.00;2.B.3.e;Programming;2.25;Jun 10;Analyst
17-2081.00;2.B.3.g;Operation Monitoring;3;Jun 10;Analyst
17-2081.00;2.B.3.h;Operation and Control;2.62;Jun 10;Analyst
17-2081.00;2.B.3.j;Equipment Maintenance;1.12;Jun 10;Analyst
17-2081.00;2.B.3.k;Troubleshooting;2.25;Jun 10;Analyst
17-2081.00;2.B.3.l;Repairing;1.12;Jun 10;Analyst
17-2081.00;2.B.3.m;Quality Control Analysis;3.12;Jun 10;Analyst
17-2081.00;2.B.4.e;Judgment and Decision Making;3.75;Jun 10;Analyst
17-2081.00;2.B.4.g;Systems Analysis;3.62;Jun 10;Analyst
17-2081.00;2.B.4.h;Systems Evaluation;3.38;Jun 10;Analyst
17-2081.00;2.B.5.a;Time Management;3.25;Jun 10;Analyst
17-2081.00;2.B.5.b;Management of Financial Resources;2.5;Jun 10;Analyst
17-2081.00;2.B.5.c;Management of Material Resources;2.25;Jun 10;Analyst
17-2081.00;2.B.5.d;Management of Personnel Resources;2.88;Jun 10;Analyst
17-2111.01;2.A.1.a;Reading Comprehension;4.12;Jun 10;Analyst
17-2111.01;2.A.1.b;Active Listening;4;Jun 10;Analyst
17-2111.01;2.A.1.c;Writing;3.75;Jun 10;Analyst
17-2111.01;2.A.1.d;Speaking;4.12;Jun 10;Analyst
17-2111.01;2.A.1.e;Mathematics;3.38;Jun 10;Analyst
17-2111.01;2.A.1.f;Science;3.12;Jun 10;Analyst
17-2111.01;2.A.2.a;Critical Thinking;4.12;Jun 10;Analyst
17-2111.01;2.A.2.b;Active Learning;3.75;Jun 10;Analyst
17-2111.01;2.A.2.c;Learning Strategies;3.5;Jun 10;Analyst
17-2111.01;2.A.2.d;Monitoring;3.62;Jun 10;Analyst
17-2111.01;2.B.1.a;Social Perceptiveness;3.5;Jun 10;Analyst
17-2111.01;2.B.1.b;Coordination;3.5;Jun 10;Analyst
17-2111.01;2.B.1.c;Persuasion;3.38;Jun 10;Analyst
17-2111.01;2.B.1.d;Negotiation;3;Jun 10;Analyst
17-2111.01;2.B.1.e;Instructing;3.5;Jun 10;Analyst
17-2111.01;2.B.1.f;Service Orientation;3.25;Jun 10;Analyst
17-2111.01;2.B.2.i;Complex Problem Solving;3.88;Jun 10;Analyst
17-2111.01;2.B.3.a;Operations Analysis;2.75;Jun 10;Analyst
17-2111.01;2.B.3.b;Technology Design;2.5;Jun 10;Analyst
17-2111.01;2.B.3.c;Equipment Selection;1.75;Jun 10;Analyst
17-2111.01;2.B.3.d;Installation;2.38;Jun 10;Analyst
17-2111.01;2.B.3.e;Programming;2;Jun 10;Analyst
17-2111.01;2.B.3.g;Operation Monitoring;2.88;Jun 10;Analyst
17-2111.01;2.B.3.h;Operation and Control;2.12;Jun 10;Analyst
17-2111.01;2.B.3.j;Equipment Maintenance;1;Jun 10;Analyst
