onet_soc_2010;element_id;element_name;date;source;value
17-1022.01;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 10;Occupational Expert;2.7503
17-1022.01;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 10;Occupational Expert;3.0413
17-1022.01;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 10;Occupational Expert;2.3751
17-1022.01;4.C.2.b.1.d;Exposed to Contaminants;Jun 10;Occupational Expert;2.417
17-1022.01;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 10;Occupational Expert;2
17-1022.01;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 10;Occupational Expert;1.4166
17-1022.01;4.C.2.c.1.a;Exposed to Radiation;Jun 10;Occupational Expert;1.2084
17-1022.01;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 10;Occupational Expert;1.1667
17-1022.01;4.C.2.c.1.c;Exposed to High Places;Jun 10;Occupational Expert;1.9997
17-1022.01;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 10;Occupational Expert;1.5834
17-1022.01;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 10;Occupational Expert;2.4581
17-1022.01;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 10;Occupational Expert;2.6665
17-2011.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 09;Incumbent;2.974
17-2011.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 09;Incumbent;1.7334
17-2011.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 09;Incumbent;1.8023
17-2011.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 09;Incumbent;2.0381
17-2011.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 09;Incumbent;1.5006
17-2011.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 09;Incumbent;1.0865
17-2011.00;4.C.2.c.1.a;Exposed to Radiation;Jun 09;Incumbent;1.0991
17-2011.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 09;Incumbent;1.0013
17-2011.00;4.C.2.c.1.c;Exposed to High Places;Jun 09;Incumbent;1.3534
17-2011.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 09;Incumbent;1.7261
17-2011.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 09;Incumbent;2.003
17-2011.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 09;Incumbent;1.4427
17-2021.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 10;Occupational Expert;2.7082
17-2021.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 10;Occupational Expert;2.6249
17-2021.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 10;Occupational Expert;2.1667
17-2021.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 10;Occupational Expert;2.5834
17-2021.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 10;Occupational Expert;1.7917
17-2021.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 10;Occupational Expert;1.5002
17-2021.00;4.C.2.c.1.a;Exposed to Radiation;Jun 10;Occupational Expert;1.0833
17-2021.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 10;Occupational Expert;1.4167
17-2021.00;4.C.2.c.1.c;Exposed to High Places;Jun 10;Occupational Expert;1.7916
17-2021.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 10;Occupational Expert;1.8752
17-2021.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 10;Occupational Expert;2.5
17-2021.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 10;Occupational Expert;1.8752
17-2031.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 10;Occupational Expert;2
17-2031.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 10;Occupational Expert;1.3158
17-2031.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 10;Occupational Expert;1.5789
17-2031.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 10;Occupational Expert;2.1053
17-2031.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 10;Occupational Expert;1.65
17-2031.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 10;Occupational Expert;1.2105
17-2031.00;4.C.2.c.1.a;Exposed to Radiation;Jun 10;Occupational Expert;2.05
17-2031.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 10;Occupational Expert;2.7372
17-2031.00;4.C.2.c.1.c;Exposed to High Places;Jun 10;Occupational Expert;1.15
17-2031.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 10;Occupational Expert;2.7372
17-2031.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 10;Occupational Expert;1.95
17-2031.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 10;Occupational Expert;1.579
17-2041.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 09;Occupational Expert;2.5835
17-2041.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 09;Occupational Expert;2.4999
17-2041.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 09;Occupational Expert;1.7916
17-2041.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 09;Occupational Expert;2.8
17-2041.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 09;Occupational Expert;1.72
17-2041.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 09;Occupational Expert;1.16
17-2041.00;4.C.2.c.1.a;Exposed to Radiation;Jun 09;Occupational Expert;1.16
17-2041.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 09;Occupational Expert;1.28
17-2041.00;4.C.2.c.1.c;Exposed to High Places;Jun 09;Occupational Expert;2.28
17-2041.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 09;Occupational Expert;2.96
17-2041.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 09;Occupational Expert;2.08
17-2041.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 09;Occupational Expert;1.56
17-2051.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 08;Occupational Expert;2.6665
17-2051.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 08;Occupational Expert;2.2856
17-2051.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 08;Occupational Expert;1.5714
17-2051.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 08;Occupational Expert;2.4285
17-2051.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 08;Occupational Expert;1.8094
17-2051.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 08;Occupational Expert;1.3333
17-2051.00;4.C.2.c.1.a;Exposed to Radiation;Jun 08;Occupational Expert;1.3333
17-2051.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 08;Occupational Expert;1.3809
17-2051.00;4.C.2.c.1.c;Exposed to High Places;Jun 08;Occupational Expert;2.1906
17-2051.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 08;Occupational Expert;1.9046
17-2051.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 08;Occupational Expert;2.0475
17-2051.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 08;Occupational Expert;1.7141
17-2061.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Dez 05;Incumbent;1.986
17-2061.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Dez 05;Incumbent;1.0377
17-2061.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Dez 05;Incumbent;1.0204
17-2061.00;4.C.2.b.1.d;Exposed to Contaminants;Dez 05;Incumbent;1.5383
17-2061.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Dez 05;Incumbent;1.2342
17-2061.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Dez 05;Incumbent;1
17-2061.00;4.C.2.c.1.a;Exposed to Radiation;Dez 05;Incumbent;1.0068
17-2061.00;4.C.2.c.1.b;Exposed to Disease or Infections;Dez 05;Incumbent;1
17-2061.00;4.C.2.c.1.c;Exposed to High Places;Dez 05;Incumbent;1.0165
17-2061.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Dez 05;Incumbent;1.0458
17-2061.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Dez 05;Incumbent;1.0068
17-2061.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Dez 05;Incumbent;1.0008
17-2071.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 09;Incumbent;3.0719
17-2071.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 09;Incumbent;1.9494
17-2071.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 09;Incumbent;1.9137
17-2071.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 09;Incumbent;2.1843
17-2071.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 09;Incumbent;1.6252
17-2071.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 09;Incumbent;1.0768
17-2071.00;4.C.2.c.1.a;Exposed to Radiation;Jun 09;Incumbent;1.0992
17-2071.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 09;Incumbent;1.0177
17-2071.00;4.C.2.c.1.c;Exposed to High Places;Jun 09;Incumbent;1.4947
17-2071.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 09;Incumbent;2.5318
17-2071.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 09;Incumbent;2.2899
17-2071.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 09;Incumbent;1.8226
17-2072.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 10;Incumbent;2.0512
17-2072.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 10;Incumbent;1.503
17-2072.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 10;Incumbent;1.3094
17-2072.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 10;Incumbent;1.3274
17-2072.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 10;Incumbent;1.3583
17-2072.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 10;Incumbent;1
17-2072.00;4.C.2.c.1.a;Exposed to Radiation;Jun 10;Incumbent;1.0379
17-2072.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 10;Incumbent;1.0089
17-2072.00;4.C.2.c.1.c;Exposed to High Places;Jun 10;Incumbent;1.3717
17-2072.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 10;Incumbent;1.7724
17-2072.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 10;Incumbent;1.4576
17-2072.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 10;Incumbent;1.2664
17-2081.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 08;Incumbent;3.8435
17-2081.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 08;Incumbent;2.7271
17-2081.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 08;Incumbent;2.1498
17-2081.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 08;Incumbent;3.2527
17-2081.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 08;Incumbent;2.0747
17-2081.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 08;Incumbent;1.1265
17-2081.00;4.C.2.c.1.a;Exposed to Radiation;Jun 08;Incumbent;1
17-2081.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 08;Incumbent;1.2058
17-2081.00;4.C.2.c.1.c;Exposed to High Places;Jun 08;Incumbent;2.0332
17-2081.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 08;Incumbent;2.0685
17-2081.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 08;Incumbent;2.2943
17-2081.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 08;Incumbent;2.3077
17-2111.01;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 10;Occupational Expert;3.4091
17-2111.01;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 10;Occupational Expert;2.9549
17-2111.01;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 10;Occupational Expert;2.3637
17-2111.01;4.C.2.b.1.d;Exposed to Contaminants;Jun 10;Occupational Expert;3.1815
17-2111.01;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 10;Occupational Expert;2.5452
17-2111.01;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 10;Occupational Expert;1.5001
17-2111.01;4.C.2.c.1.a;Exposed to Radiation;Jun 10;Occupational Expert;1.6362
17-2111.01;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 10;Occupational Expert;1.9089
17-2111.01;4.C.2.c.1.c;Exposed to High Places;Jun 10;Occupational Expert;2.4549
17-2111.01;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 10;Occupational Expert;3.0911
17-2111.01;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 10;Occupational Expert;3.1818
17-2111.01;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 10;Occupational Expert;2.2276
17-2111.02;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 06;Occupational Expert;2.7141
17-2111.02;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 06;Occupational Expert;2.2502
17-2111.02;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 06;Occupational Expert;2.1071
17-2111.02;4.C.2.b.1.d;Exposed to Contaminants;Jun 06;Occupational Expert;2.3217
17-2111.02;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 06;Occupational Expert;1.8928
17-2111.02;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 06;Occupational Expert;1.2498
17-2111.02;4.C.2.c.1.a;Exposed to Radiation;Jun 06;Occupational Expert;1.3214
17-2111.02;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 06;Occupational Expert;1.2143
17-2111.02;4.C.2.c.1.c;Exposed to High Places;Jun 06;Occupational Expert;2.2499
17-2111.02;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 06;Occupational Expert;2.0357
17-2111.02;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 06;Occupational Expert;1.9286
17-2111.02;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 06;Occupational Expert;1.3571
17-2111.03;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 07;Occupational Expert;2.5173
17-2111.03;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 07;Occupational Expert;2.0001
17-2111.03;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 07;Occupational Expert;1.8966
17-2111.03;4.C.2.b.1.d;Exposed to Contaminants;Jun 07;Occupational Expert;2.2069
17-2111.03;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 07;Occupational Expert;1.8619
17-2111.03;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 07;Occupational Expert;1.3106
17-2111.03;4.C.2.c.1.a;Exposed to Radiation;Jun 07;Occupational Expert;1.3104
17-2111.03;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 07;Occupational Expert;1.1381
17-2111.03;4.C.2.c.1.c;Exposed to High Places;Jun 07;Occupational Expert;1.586
17-2111.03;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 07;Occupational Expert;2.2413
17-2111.03;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 07;Occupational Expert;2.1377
17-2111.03;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 07;Occupational Expert;1.6428
17-2112.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 10;Incumbent;3.8799
17-2112.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 10;Incumbent;2.4304
17-2112.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 10;Incumbent;2.0248
17-2112.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 10;Incumbent;3.3399
17-2112.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 10;Incumbent;1.7884
17-2112.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 10;Incumbent;1.2038
17-2112.00;4.C.2.c.1.a;Exposed to Radiation;Jun 10;Incumbent;1.0108
17-2112.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 10;Incumbent;1.0612
17-2112.00;4.C.2.c.1.c;Exposed to High Places;Jun 10;Incumbent;1.4454
17-2112.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 10;Incumbent;2.4591
17-2112.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 10;Incumbent;3.2056
17-2112.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 10;Incumbent;1.9271
17-2121.01;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Dez 05;Incumbent;3.2025
17-2121.01;4.C.2.b.1.b;Very Hot or Cold Temperatures;Dez 05;Incumbent;2.1852
17-2121.01;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Dez 05;Incumbent;2.9636
17-2121.01;4.C.2.b.1.d;Exposed to Contaminants;Dez 05;Incumbent;2.8574
17-2121.01;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Dez 05;Incumbent;2.963
17-2121.01;4.C.2.b.1.f;Exposed to Whole Body Vibration;Dez 05;Incumbent;1.4869
17-2121.01;4.C.2.c.1.a;Exposed to Radiation;Dez 05;Incumbent;1.2812
17-2121.01;4.C.2.c.1.b;Exposed to Disease or Infections;Dez 05;Incumbent;1.1147
17-2121.01;4.C.2.c.1.c;Exposed to High Places;Dez 05;Incumbent;2.7076
17-2121.01;4.C.2.c.1.d;Exposed to Hazardous Conditions;Dez 05;Incumbent;2.2438
17-2121.01;4.C.2.c.1.e;Exposed to Hazardous Equipment;Dez 05;Incumbent;2.6637
17-2121.01;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Dez 05;Incumbent;2.0601
17-2121.02;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 06;Incumbent;2.3335
17-2121.02;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 06;Incumbent;1.962
17-2121.02;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 06;Incumbent;1.8075
17-2121.02;4.C.2.b.1.d;Exposed to Contaminants;Jun 06;Incumbent;2.1893
17-2121.02;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 06;Incumbent;1.9575
17-2121.02;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 06;Incumbent;1.2201
17-2121.02;4.C.2.c.1.a;Exposed to Radiation;Jun 06;Incumbent;1.1777
17-2121.02;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 06;Incumbent;1.0354
17-2121.02;4.C.2.c.1.c;Exposed to High Places;Jun 06;Incumbent;2.0126
17-2121.02;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 06;Incumbent;1.6351
17-2121.02;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 06;Incumbent;1.956
17-2121.02;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 06;Incumbent;1.5525
17-2131.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 06;Incumbent;3.4605
17-2131.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 06;Incumbent;1.522
17-2131.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 06;Incumbent;1.4642
17-2131.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 06;Incumbent;3.0055
17-2131.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 06;Incumbent;1.729
17-2131.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 06;Incumbent;1
17-2131.00;4.C.2.c.1.a;Exposed to Radiation;Jun 06;Incumbent;1.0182
17-2131.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 06;Incumbent;1
17-2131.00;4.C.2.c.1.c;Exposed to High Places;Jun 06;Incumbent;1.0139
17-2131.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 06;Incumbent;2.6693
17-2131.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 06;Incumbent;2.7131
17-2131.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 06;Incumbent;2.5901
17-2141.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 09;Incumbent;3.2172
17-2141.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 09;Incumbent;1.7487
17-2141.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 09;Incumbent;1.6735
17-2141.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 09;Incumbent;2.1387
17-2141.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 09;Incumbent;1.5785
17-2141.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 09;Incumbent;1.0645
17-2141.00;4.C.2.c.1.a;Exposed to Radiation;Jun 09;Incumbent;1.0118
17-2141.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 09;Incumbent;1.0193
17-2141.00;4.C.2.c.1.c;Exposed to High Places;Jun 09;Incumbent;1.3425
17-2141.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 09;Incumbent;1.4724
17-2141.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 09;Incumbent;2.5419
17-2141.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 09;Incumbent;1.6172
17-2151.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 10;Incumbent;2.4086
17-2151.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 10;Incumbent;2.5896
17-2151.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 10;Incumbent;2.1342
17-2151.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 10;Incumbent;2.6103
17-2151.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 10;Incumbent;1.7633
17-2151.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 10;Incumbent;1.8177
17-2151.00;4.C.2.c.1.a;Exposed to Radiation;Jun 10;Incumbent;1
17-2151.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 10;Incumbent;1.2579
17-2151.00;4.C.2.c.1.c;Exposed to High Places;Jun 10;Incumbent;1.8806
17-2151.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 10;Incumbent;1.9599
17-2151.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 10;Incumbent;2.9481
17-2151.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 10;Incumbent;2.2389
17-2161.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 10;Occupational Expert;2.5454
17-2161.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 10;Occupational Expert;2.2274
17-2161.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 10;Occupational Expert;1.8185
17-2161.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 10;Occupational Expert;2.3636
17-2161.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 10;Occupational Expert;1.8182
17-2161.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 10;Occupational Expert;1.2273
17-2161.00;4.C.2.c.1.a;Exposed to Radiation;Jun 10;Occupational Expert;3.6363
17-2161.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 10;Occupational Expert;1.0455
17-2161.00;4.C.2.c.1.c;Exposed to High Places;Jun 10;Occupational Expert;1.6362
17-2161.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 10;Occupational Expert;2.091
17-2161.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 10;Occupational Expert;2
17-2161.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 10;Occupational Expert;1.3184
17-2171.00;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 10;Incumbent;2.4743
17-2171.00;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 10;Incumbent;2.2602
17-2171.00;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 10;Incumbent;1.9003
17-2171.00;4.C.2.b.1.d;Exposed to Contaminants;Jun 10;Incumbent;2.1432
17-2171.00;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 10;Incumbent;1.4324
17-2171.00;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 10;Incumbent;1.0238
17-2171.00;4.C.2.c.1.a;Exposed to Radiation;Jun 10;Incumbent;1.2914
17-2171.00;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 10;Incumbent;1.0319
17-2171.00;4.C.2.c.1.c;Exposed to High Places;Jun 10;Incumbent;1.4347
17-2171.00;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 10;Incumbent;1.8889
17-2171.00;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 10;Incumbent;1.8353
17-2171.00;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 10;Incumbent;1.7028
17-2199.02;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 09;Occupational Expert;2.8621
17-2199.02;4.C.2.b.1.b;Very Hot or Cold Temperatures;Jun 09;Occupational Expert;1.6551
17-2199.02;4.C.2.b.1.c;Extremely Bright or Inadequate Lighting;Jun 09;Occupational Expert;1.7586
17-2199.02;4.C.2.b.1.d;Exposed to Contaminants;Jun 09;Occupational Expert;2.2758
17-2199.02;4.C.2.b.1.e;Cramped Work Space, Awkward Positions;Jun 09;Occupational Expert;1.5862
17-2199.02;4.C.2.b.1.f;Exposed to Whole Body Vibration;Jun 09;Occupational Expert;1.2069
17-2199.02;4.C.2.c.1.a;Exposed to Radiation;Jun 09;Occupational Expert;1.3793
17-2199.02;4.C.2.c.1.b;Exposed to Disease or Infections;Jun 09;Occupational Expert;1.2414
17-2199.02;4.C.2.c.1.c;Exposed to High Places;Jun 09;Occupational Expert;1.3104
17-2199.02;4.C.2.c.1.d;Exposed to Hazardous Conditions;Jun 09;Occupational Expert;2.0001
17-2199.02;4.C.2.c.1.e;Exposed to Hazardous Equipment;Jun 09;Occupational Expert;2.2414
17-2199.02;4.C.2.c.1.f;Exposed to Minor Burns, Cuts, Bites, or Stings;Jun 09;Occupational Expert;1.6208
17-2199.03;4.C.2.b.1.a;Sounds, Noise Levels Are Distracting or Uncomfortable;Jun 09;Occupational Expert;2.6543
